date,min,max,pm25,q1,q3,stdev,count
2022-04-08T00:00:00.000Z,0.8,4.82,1.2,1.08,1.39,0.308,468
2022-04-09T00:00:00.000Z,0.3,27.85,1.24,0.7,1.7,2.611,460
2022-04-10T00:00:00.000Z,0.1,12.43,0.7,0.4,0.9,1.031,472
2022-04-11T00:00:00.000Z,0.2,19.27,1,0.77,1.2,1.229,468
2022-04-12T00:00:00.000Z,0.2,16.05,1.1,0.6,1.38,1.603,475
2022-04-13T00:00:00.000Z,0.45,4.57,1.3,1.05,1.8,0.605,467
2022-04-14T00:00:00.000Z,0.88,271.35,3.63,2.9,4.28,14.289,470
2022-04-15T00:00:00.000Z,0.1,42.28,1.1,0.55,1.92,3.461,471
2022-04-16T00:00:00.000Z,0.22,282.67,0.95,0.6,1.42,13.434,472
2022-04-17T00:00:00.000Z,0.4,10.65,1.2,0.9,1.5,1.085,464
2022-04-18T00:00:00.000Z,0.3,13.32,1.4,0.8,1.8,1.207,470
2022-04-19T00:00:00.000Z,0.4,17.88,1.12,0.75,2.25,1.802,464
2022-04-20T00:00:00.000Z,0.2,37.67,0.8,0.5,1.3,2.634,472
2022-04-21T00:00:00.000Z,0.2,24.15,0.8,0.5,1.3,2.198,469
2022-04-22T00:00:00.000Z,0.22,5.95,0.73,0.56,1.01,0.6,468
2022-04-23T00:00:00.000Z,0.1,4.28,0.4,0.3,0.5,0.352,467
2022-04-24T00:00:00.000Z,0.3,20.52,0.75,0.6,1.2,1.239,471
2022-04-25T00:00:00.000Z,0.2,47.42,0.8,0.47,1.55,2.966,455
2022-04-26T00:00:00.000Z,0.1,15.77,0.5,0.4,0.7,0.928,461
2022-04-27T00:00:00.000Z,0.2,15.65,0.6,0.4,0.8,0.861,467
2022-04-28T00:00:00.000Z,0.1,3.92,0.55,0.3,1.2,0.549,465
2022-04-29T00:00:00.000Z,0.1,4.3,0.5,0.3,0.6,0.344,469
2022-04-30T00:00:00.000Z,0.1,4.53,0.55,0.3,0.93,0.544,474
2022-05-01T00:00:00.000Z,0.1,1.5,0.4,0.2,0.6,0.239,434
2022-05-02T00:00:00.000Z,0.1,1.98,0.4,0.3,0.75,0.304,392
2022-05-03T00:00:00.000Z,0.3,2.45,0.63,0.5,0.9,0.279,446
2022-05-04T00:00:00.000Z,0.2,29.4,0.7,0.55,0.8,2.473,474
2022-05-05T00:00:00.000Z,0.7,7.57,1.9,1.35,2.68,1.08,469
